"TOA5","CH-DAV_iDL_T1_35_1","CR1000","E7558","CR1000.Std.32.05","CPU:CH-DAV_iDL_T1_35_1.CR1","48867","iDL_T1_35_1_TBL1"
"TIMESTAMP","RECORD","SW_IN_IU_1_1_1","SW_IN_1_1_1","LW_IN_IU_1_1_1","LW_IN_1_1_1","SW_OUT_IU_1_1_1","SW_OUT_1_1_1","LW_OUT_IU_1_1_1","LW_OUT_1_1_1","LW_T_BODY_1_1_1","PPFD_IN_IU_1_1_1","PPFD_IN_1_1_1","PPFD_OUT_IU_1_1_1","PPFD_OUT_1_1_1","PPFD_DIF_1_1_1","SV_LOGGER_T1_35_1","T_LOGGER_T1_35_1","DNTP_LOGGER_T1_35_1","HEAT_HS50_T1B1_35_1_FLAG","HEAT_R350_T1B1_35_1_FLAG","SUN_T1_35_1","LW_IN_RAW_T1_35_2","LW_OUT_RAW_T1_35_2","TA_HEAT_T1_35_1","PPFD_IN_T1_35_3"
"TS","RN","mV","W.meter-2","mV","W.meter-2","mV","W.meter-2","mV","W.meter-2","Deg C","","umol.m-2.s-1","","umol.m-2.s-1","umol.m-2.s-1","V","Deg C","ms","flag","flag","Boolean","W.meter-2","W.meter-2","Deg C","umol.m-2.s-1"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-06-30 00:09:50",3804574,-0.1028577,-9.488719,-0.1407993,376.0041,-0.04893025,-3.855812,-0.1577751,375.4485,14.31175,0,0,0,0,0,12.07,18.25,-125,0,0,0,-11.19231,-11.74796,13.13426,0
"2022-06-30 00:10:00",3804575,-0.1028577,-9.488719,-0.1457922,375.6072,-0.04992883,-3.934502,-0.1577751,375.4485,14.31175,0,0,0,0,0,12.07,18.25,-125,0,0,0,-11.5892,-11.74796,13.13426,0
"2022-06-30 00:10:10",3804576,-0.1028577,-9.488719,-0.1447936,375.6866,-0.05092741,-4.013192,-0.1567765,375.5228,14.31175,0,0,0,0,0,12.09,18.25,-125,0,0,0,-11.50983,-11.67361,13.05305,0
"2022-06-30 00:10:20",3804577,-0.1028574,-9.48869,-0.146791,375.4164,-0.0509275,-4.0132,-0.1567768,375.4113,14.29103,0,0,0,0,0,12.11,18.23,-125,0,0,0,-11.6686,-11.67363,13.13341,0
"2022-06-30 00:10:30",3804578,-0.1028574,-9.48869,-0.146791,375.3046,-0.0509275,-4.0132,-0.1567768,375.2996,14.27031,0,0,0,0,0,12.07,18.23,-125,0,0,0,-11.6686,-11.67363,13.17482,0
"2022-06-30 00:10:40",3804579,-0.1028574,-9.48869,-0.1517839,374.9077,-0.05292466,-4.17058,-0.1577754,375.2252,14.27031,0,0,0,0,0,12.06,18.23,-125,0,0,0,-12.0655,-11.74798,13.21541,0
"2022-06-30 00:10:50",3804580,-0.1028574,-9.48869,-0.1547797,374.6696,-0.05292466,-4.17058,-0.1567768,375.2996,14.27031,0,0,0,0,0,12.08,18.23,-125,0,0,0,-12.30363,-11.67363,13.09282,0
"2022-06-30 00:11:00",3804581,-0.1061754,-9.794777,-0.1637669,373.9551,-0.05392324,-4.24927,-0.1577754,375.2252,14.27031,0,0,0,0,0,12.06,18.23,-125,0,0,0,-13.01803,-11.74798,13.17482,0
"2022-06-30 00:11:10",3804582,-0.1061754,-9.794777,-0.1757498,373.0026,-0.05292466,-4.17058,-0.1567768,375.2996,14.27031,0,0,0,0,0,12.1,18.23,-125,0,0,0,-13.97057,-11.67363,13.13426,0
"2022-06-30 00:11:20",3804583,-0.1061754,-9.794777,-0.1897299,371.8913,-0.05292466,-4.17058,-0.1557782,375.3739,14.27031,0,0,0,0,0,12.08,18.23,-125,0,0,0,-15.08187,-11.59927,13.13426,0
"2022-06-30 00:11:30",3804584,-0.1061754,-9.794777,-0.19672,371.3357,-0.05292466,-4.17058,-0.1567768,375.2996,14.27031,0,0,0,0,0,12.08,18.23,-125,0,0,0,-15.63752,-11.67363,13.13426,0
"2022-06-30 00:11:40",3804585,-0.1094935,-10.10087,-0.2057073,370.6212,-0.0529247,-4.170583,-0.1567769,375.2995,14.27031,0,0,0,0,0,12.06,18.23,-125,0,0,0,-16.35193,-11.67364,13.13454,0
"2022-06-30 00:11:50",3804586,-0.1094935,-10.10087,-0.2027116,370.8594,-0.05492185,-4.327963,-0.1557783,375.3739,14.27031,0,0,0,0,0,12.1,18.23,-125,0,0,0,-16.1138,-11.59928,13.13454,0
"2022-06-30 00:12:00",3804587,-0.1094935,-10.10087,-0.2047087,370.7006,-0.05691902,-4.485344,-0.1567769,375.2995,14.27031,0,0,0,0,0,12.1,18.2,-125,0,0,0,-16.27255,-11.67364,13.13454,0
"2022-06-30 00:12:10",3804588,-0.1128115,-10.40696,-0.2067059,370.5419,-0.05791759,-4.564034,-0.1597727,375.0765,14.27031,0,0,0,0,0,12.1,18.2,-125,0,0,0,-16.43131,-11.8967,13.13454,0
"2022-06-30 00:12:20",3804589,-0.1128115,-10.40696,-0.2037102,370.78,-0.05691902,-4.485344,-0.1597727,375.0765,14.27031,0,0,0,0,0,12.11,18.2,-125,0,0,0,-16.19318,-11.8967,13.13454,0
"2022-06-30 00:12:30",3804590,-0.1128115,-10.40696,-0.1917272,371.7325,-0.05691902,-4.485344,-0.1597727,375.0765,14.27031,0,0,0,0,0,12.04,18.2,-125,0,0,0,-15.24064,-11.8967,13.17513,0
"2022-06-30 00:12:40",3804591,-0.1128115,-10.40696,-0.1887315,371.9707,-0.05691902,-4.485344,-0.1597727,375.0765,14.27031,0,0,0,0,0,12.06,18.2,-125,0,0,0,-15.0025,-11.8967,13.17513,0
"2022-06-30 00:12:50",3804592,-0.1128115,-10.40696,-0.1917272,371.7325,-0.05691902,-4.485344,-0.1597727,375.0765,14.27031,0,0,0,0,0,12.06,18.17,-125,0,0,0,-15.24064,-11.8967,13.17513,0
"2022-06-30 00:13:00",3804593,-0.1128115,-10.40696,-0.18274,372.4469,-0.05691902,-4.485344,-0.1587741,375.1508,14.27031,0,0,0,0,0,12.06,18.2,-125,0,0,0,-14.52623,-11.82234,13.05473,0
"2022-06-30 00:13:10",3804594,-0.1161304,-10.71313,-0.1777426,372.8442,-0.05791614,-4.56392,-0.1587701,375.1511,14.27031,0,0,0,0,0,12.11,18.17,-125,0,0,0,-14.12899,-11.82205,13.1367,0
"2022-06-30 00:13:20",3804595,-0.1161304,-10.71313,-0.1787412,372.7648,-0.05591903,-4.406543,-0.156773,375.2998,14.27031,0,0,0,0,0,12.08,18.17,-125,0,0,0,-14.20836,-11.67334,13.1367,0
"2022-06-30 00:13:30",3804596,-0.1161304,-10.71313,-0.1817369,372.5267,-0.05492048,-4.327855,-0.156773,375.2998,14.27031,0,0,0,0,0,12.09,18.17,-125,0,0,0,-14.44649,-11.67334,13.1367,0
"2022-06-30 00:13:40",3804597,-0.1161304,-10.71313,-0.1737484,373.1617,-0.05492048,-4.327855,-0.1547759,375.4485,14.27031,0,0,0,0,0,12.08,18.17,-125,0,0,0,-13.81148,-11.52464,13.1367,0
"2022-06-30 00:13:50",3804598,-0.1161304,-10.71313,-0.1807383,372.606,-0.05292337,-4.170478,-0.1517802,375.6716,14.27031,0,0,0,0,0,12.11,18.17,-125,0,0,0,-14.36712,-11.30158,13.2188,0
"2022-06-30 00:14:00",3804599,-0.1194484,-11.01922,-0.1807383,372.606,-0.05292337,-4.170478,-0.1527788,375.5972,14.27031,0,0,0,0,0,12.08,18.17,-125,0,0,0,-14.36712,-11.37593,13.3008,0
"2022-06-30 00:14:10",3804600,-0.1194484,-11.01922,-0.1857311,372.2092,-0.05292337,-4.170478,-0.1517802,375.6716,14.27031,0,0,0,0,0,12.07,18.17,-125,0,0,0,-14.764,-11.30158,13.3008,0
"2022-06-30 00:14:20",3804601,-0.1194484,-11.01922,-0.1987123,371.0659,-0.05292337,-4.170478,-0.1537773,375.4115,14.24959,0,0,0,0,0,12.06,18.17,-125,0,0,0,-15.79589,-11.45029,13.3008,0
